"FABLE_Exporter","FABLE_Importer","Year","FABLE_Item","Q_ij","net_trade_ij"
"ARG","CAN",2015,"Rice",3.6973794,3.6973794
"ARG","CAN",2015,"Soyabean",0.306623,0.306623
"ARG","CAN",2015,"Wheat",0.25629775,0.25629775
"ARG","CAN",2020,"Cocoa",0.1447721,0.1447721
"ARG","CAN",2020,"Corn",0.1404705,0.1404705
"ARG","CAN",2020,"Rice",2.1909685,2.1909685
"ARG","CAN",2020,"Soyabean",0.758749,0.758749
"ARG","CAN",2020,"Wheat",0.0939468,0.0939468
"ARG","CHN",2000,"Cocoa",0.836037,0.836037
"ARG","CHN",2000,"Coffee",0.0052,0.0052
"ARG","CHN",2000,"Corn",0.005853,0.005853
"ARG","CHN",2000,"Soyabean",2824.968874,2824.966986
"ARG","CHN",2000,"Wheat",0.0045483,-0.0014395
"ARG","CHN",2005,"Cocoa",0.2422979,0.2422979
"ARG","CHN",2005,"Corn",0.05476295,0.05476295
"ARG","CHN",2005,"Soyabean",7552.434447,7552.415846
"ARG","CHN",2005,"Wheat",0.0337374,-0.3794462
"ARG","CHN",2010,"Cocoa",0.9229906,-0.7495461
"ARG","CHN",2010,"Soyabean",11293.567156,11293.487803
"ARG","CHN",2010,"Wheat",0.0170594,-0.2787637
"ARG","CHN",2015,"Cocoa",0.0074039,-0.3615348
"ARG","CHN",2015,"Corn",0.1036729,0.1036729
"ARG","CHN",2015,"Soyabean",9723.345358,9723.289361
"ARG","CHN",2015,"Wheat",0,-0.4864715
"ARG","CHN",2020,"Cocoa",0.1341367,-0.7479182
"ARG","CHN",2020,"Corn",0.0420844,0.0420844
"ARG","CHN",2020,"Rice",0,-0.0007792
"ARG","CHN",2020,"Soyabean",5475.825872,5475.6881767
"ARG","CHN",2020,"Wheat",0,-0.1570457
"ARG","COL",2000,"Cocoa",0.2760694,0.2760694
"ARG","COL",2000,"Coffee",0,-0.40301605
"ARG","COL",2000,"Corn",97.2440934,97.2440934
"ARG","COL",2000,"Rice",4.5913806,4.5913806
"ARG","COL",2000,"Soyabean",5.498197,5.498197
"ARG","COL",2000,"Wheat",39.067451,39.067451
"ARG","COL",2005,"Cocoa",0.2760694,0.2760694
"ARG","COL",2005,"Coffee",0,-0.3443621
"ARG","COL",2005,"Corn",271.4072949,271.4072949
"ARG","COL",2005,"Soyabean",60.742497,60.742497
"ARG","COL",2005,"Wheat",116.2140058,116.2140058
"ARG","COL",2010,"Cocoa",0.2719767,0.202617
"ARG","COL",2010,"Coffee",0,-0.2571457
"ARG","COL",2010,"Corn",140.86556785,140.86556785
"ARG","COL",2010,"Palm_oil",0,-0.069164
"ARG","COL",2010,"Soyabean",240.047341,240.047341
"ARG","COL",2010,"Wheat",169.5576438,169.3123718
"ARG","COL",2015,"Cocoa",0.3783028,-0.4720547
"ARG","COL",2015,"Coffee",0,-0.46167
"ARG","COL",2015,"Corn",10.3238408,10.3238408
"ARG","COL",2015,"Palm_oil",0,-0.07436
"ARG","COL",2015,"Wheat",14.5777587,14.5777587
"ARG","COL",2020,"Cocoa",0.2607545,0.00189830000000002
"ARG","COL",2020,"Coffee",0,-0.5990547
"ARG","COL",2020,"Corn",542.8287259,538.2027709
"ARG","COL",2020,"Palm_oil",0,-0.261872
"ARG","COL",2020,"Wheat",26.2789785,26.2789785
"ARG","DEU",2000,"Cocoa",0.000425,-0.2423739
"ARG","DEU",2000,"Coffee",0,-0.0444586
"ARG","DEU",2000,"Corn",1.0903365,1.0896593
"ARG","DEU",2000,"Rice",0.0046331,0.0046331
"ARG","DEU",2000,"Soyabean",47.14833,47.14833
"ARG","DEU",2000,"Wheat",0.0183844,-0.1390779
"ARG","DEU",2005,"Cocoa",0.0040775,-0.2648915
"ARG","DEU",2005,"Corn",9.7105732,9.7067216
"ARG","DEU",2005,"Soyabean",1.215157,1.215157
"ARG","DEU",2005,"Wheat",0.0127033,-0.0278015
"ARG","DEU",2010,"Cocoa",0.0300521,-0.265087
"ARG","DEU",2010,"Coffee",0,-0.062044
"ARG","DEU",2010,"Corn",5.2515387,5.2478912
"ARG","DEU",2010,"Rice",0.2795013,0.2795013
"ARG","DEU",2010,"Soyabean",15.139456,15.139456
"ARG","DEU",2010,"Wheat",0.02238145,0.01602735
"ARG","DEU",2015,"Cocoa",0,-0.2840923
"ARG","DEU",2015,"Coffee",0,-0.094002
"ARG","DEU",2015,"Corn",11.9347284,11.9347284
"ARG","DEU",2015,"Rice",0.7564065,0.7564065
"ARG","DEU",2015,"Soyabean",37.028169,37.028169
"ARG","DEU",2015,"Wheat",0.0320596,0.0320596
"ARG","DEU",2020,"Cocoa",0,-0.2221966
"ARG","DEU",2020,"Coffee",0,-0.0306078
"ARG","DEU",2020,"Corn",13.9796916,13.9796916
"ARG","DEU",2020,"Soyabean",27.379434,27.379434
"ARG","DEU",2020,"Wheat",0.0159819,-0.3853511
"ARG","DNK",2000,"Cocoa",0,-0.0136671
"ARG","DNK",2000,"Corn",1.694333,1.694333
"ARG","DNK",2000,"Soyabean",0.432702,0.432702
"ARG","DNK",2000,"Wheat",0,-0.197705
"ARG","DNK",2005,"Corn",0.08391,0.08391
"ARG","DNK",2005,"Wheat",0.0066849,-0.0142563
"ARG","DNK",2010,"Corn",3.17949,3.17949
"ARG","DNK",2010,"Palm_oil",0,-0.22065
"ARG","DNK",2010,"Rice",0.1299727,0.1299727
"ARG","DNK",2015,"Corn",1.319328,1.319328
"ARG","DNK",2015,"Rice",0.4011971,0.4011971
"ARG","DNK",2020,"Corn",3.28485,3.28485
"ARG","DNK",2020,"Wheat",0,-0.0172204
"ARG","ETH",2005,"Cocoa",0.0510099,0.0510099
"ARG","ETH",2005,"Wheat",0.038606,0.038606
"ARG","ETH",2010,"Cocoa",0.0065731,0.0065731
"ARG","ETH",2010,"Corn",1.127691,1.127691
"ARG","ETH",2015,"Corn",2.1779001,2.1779001
"ARG","ETH",2020,"Coffee",0,-0.038984
"ARG","ETH",2020,"Corn",29.984,29.984
"ARG","ETH",2020,"Wheat",277.96216,277.96216
"ARG","FIN",2020,"Corn",0.103008,0.103008
"ARG","GBR",2000,"Cocoa",1.6811741,1.4819404
"ARG","GBR",2000,"Corn",273.0167696,273.0167696
"ARG","GBR",2000,"Soyabean",0.609175,0.609175
"ARG","GBR",2000,"Wheat",0.1077816,0.0661023
"ARG","GBR",2005,"Cocoa",0.2390169,0.2095968
"ARG","GBR",2005,"Corn",219.6965748,219.6965748
"ARG","GBR",2005,"Rice",1.1005164,1.1005164
"ARG","GBR",2005,"Soyabean",1.410829,1.410829
"ARG","GBR",2005,"Wheat",0.2080488,0.2044556
"ARG","GBR",2010,"Cocoa",0,-0.0111813
"ARG","GBR",2010,"Coffee",0,-0.096482
"ARG","GBR",2010,"Corn",166.37638,166.37638
"ARG","GBR",2010,"Rice",0.7778747,0.7778747
"ARG","GBR",2010,"Soyabean",2.664111,2.664111
"ARG","GBR",2010,"Wheat",0.0845759,0.0313682
"ARG","GBR",2015,"Cocoa",0,-0.1692538
"ARG","GBR",2015,"Coffee",0,-0.3426116
"ARG","GBR",2015,"Corn",164.860482,164.860482
"ARG","GBR",2015,"Rice",0.095526,0.095526
"ARG","GBR",2015,"Soyabean",2.03747,2.03747
"ARG","GBR",2015,"Wheat",0,-0.2181284
"ARG","GBR",2020,"Coffee",0,-0.0868631
"ARG","GBR",2020,"Corn",208.5909061,208.5909061
"ARG","GBR",2020,"Rice",0.7778747,0.7778747
"ARG","GBR",2020,"Wheat",0.0082284,-0.0449793
"ARG","GRC",2000,"Cocoa",0.0002712,0.0002712
"ARG","GRC",2000,"Corn",1.9227835,1.9227835
"ARG","GRC",2000,"Rice",0,-0.0019917
"ARG","GRC",2000,"Soyabean",108.13598,108.13598
"ARG","GRC",2000,"Wheat",24.999889,24.9658728
"ARG","GRC",2005,"Cocoa",0.206533,0.206533
"ARG","GRC",2005,"Corn",0.8891393,0.8891393
"ARG","GRC",2005,"Soyabean",39.748845,39.748845
"ARG","GRC",2005,"Wheat",0.0028028,0.0028028
"ARG","GRC",2010,"Corn",2.5885024,2.5885024
"ARG","GRC",2010,"Soyabean",11.999928,11.999928
"ARG","GRC",2015,"Corn",1.369811,1.369811
"ARG","GRC",2015,"Soyabean",14.041,14.041
"ARG","GRC",2020,"Corn",2.475756,2.475756
"ARG","IDN",2000,"Cocoa",0.8231524,0.8231524
"ARG","IDN",2000,"Corn",31.1410998,31.1410998
"ARG","IDN",2000,"Soyabean",126.073,126.073
"ARG","IDN",2000,"Wheat",59.8228257,59.8228257
"ARG","IDN",2005,"Cocoa",0.0276392,-0.0820259
"ARG","IDN",2005,"Corn",282.92261,282.92261
"ARG","IDN",2005,"Soyabean",168.70694,168.70694
"ARG","IDN",2005,"Wheat",371.9530667,371.9530667
"ARG","IDN",2010,"Cocoa",0.0304156,-0.6035837
"ARG","IDN",2010,"Corn",799.288202,799.288202
"ARG","IDN",2010,"Palm_oil",0,-2.197144
"ARG","IDN",2010,"Soyabean",87.268773,87.268773
"ARG","IDN",2015,"Cocoa",0,-1.2547665
"ARG","IDN",2015,"Corn",718.6957233,718.6957233
"ARG","IDN",2015,"Palm_oil",0,-3.262906
"ARG","IDN",2015,"Soyabean",1.249871,1.249871
"ARG","IDN",2020,"Cocoa",0,-0.1866863
"ARG","IDN",2020,"Corn",638.1032446,638.1032446
"ARG","IDN",2020,"Soyabean",0.633023,0.633023
"ARG","IDN",2020,"Wheat",2333.7483906,2333.6885136
"ARG","IND",2000,"Cocoa",0.0569701,0.0569701
"ARG","IND",2000,"Corn",0.465485,0.465485
"ARG","IND",2000,"Rice",0,-0.0132896
"ARG","IND",2000,"Wheat",0.0415787,0.0415787
"ARG","IND",2005,"Cocoa",0.0484881,0.0484881
"ARG","IND",2005,"Corn",1.0795697,1.0795697
"ARG","IND",2005,"Rice",0,-0.0152615
"ARG","IND",2010,"Cocoa",0.2451667,0.2451667
"ARG","IND",2010,"Corn",24.4428121,24.4428121
"ARG","IND",2010,"Palm_oil",8.147,8.147
"ARG","IND",2015,"Corn",19.665961,19.665961
"ARG","IND",2020,"Corn",3.650404,3.650404
"ARG","IND",2020,"Rice",0,-0.1115392
"ARG","IRL",2000,"Cocoa",0,-0.0004057
"ARG","IRL",2000,"Corn",0.330658,0.330658
"ARG","IRL",2000,"Soyabean",3.004091,3.004091
"ARG","IRL",2005,"Corn",0.294728,0.294728
"ARG","IRL",2010,"Corn",0.13478,0.13478
"ARG","IRL",2010,"Soyabean",1.3092,1.3092
"ARG","IRL",2020,"Wheat",0,-0.10373
"ARG","MEX",2000,"Cocoa",3.2711829,3.2135955
"ARG","MEX",2000,"Coffee",0,-0.1123473
"ARG","MEX",2000,"Corn",0.0002411,0.0001749
"ARG","MEX",2000,"Wheat",0.0158792,-0.2994938
"ARG","MEX",2005,"Cocoa",6.3448334,6.3432566
"ARG","MEX",2005,"Coffee",0,-0.1123473
"ARG","MEX",2005,"Corn",0,-0.032852
"ARG","MEX",2005,"Rice",0.0128687,0.0128687
"ARG","MEX",2005,"Soyabean",30.329367,30.329367
"ARG","MEX",2005,"Wheat",0.847998,0.847998
"ARG","MEX",2010,"Cocoa",2.8723516,2.7187565
"ARG","MEX",2010,"Coffee",0,-0.1129363
"ARG","MEX",2010,"Corn",0.7610476,0.7610476
"ARG","MEX",2010,"Wheat",4.2631545,4.0073172
"ARG","MEX",2015,"Cocoa",0.0659939,-0.3913091
"ARG","MEX",2015,"Coffee",0,-0.0663719
"ARG","MEX",2015,"Corn",13.0561579,13.0561579
"ARG","MEX",2015,"Wheat",8.0767347,7.8804331
"ARG","MEX",2020,"Cocoa",0,-0.3664594
"ARG","MEX",2020,"Coffee",0,-0.0544544
"ARG","MEX",2020,"Corn",4.6692914,4.6692914
"ARG","MEX",2020,"Rice",33.8436343,33.8436343
"ARG","MEX",2020,"Wheat",0.403796,0.3414005
"ARG","NOR",2000,"Corn",0.397523,0.397523
"ARG","NOR",2000,"Wheat",25.6877473,25.6877473
"ARG","NOR",2005,"Corn",0.39744,0.39744
"ARG","NOR",2010,"Corn",1.1945696,1.1945696
"ARG","NOR",2015,"Corn",0.0227242,0.0227242
"ARG","NOR",2015,"Wheat",0.0121505,0.0121505
"ARG","NOR",2020,"Corn",0.397606,0.397606
"ARG","NPL",2005,"Cocoa",0.0030165,0.0030165
"ARG","NPL",2010,"Cocoa",0.0091698,0.0091698
"ARG","NPL",2010,"Corn",0.4041238,0.4041238
"ARG","NPL",2010,"Palm_oil",1.602492,1.602492
"ARG","NPL",2015,"Corn",4.9521518,4.9521518
"ARG","NPL",2015,"Soyabean",12.371021,12.371021
"ARG","NPL",2020,"Corn",5.5220558,5.5220558
"ARG","RUS",2000,"Cocoa",2.4e-06,2.4e-06
"ARG","RUS",2000,"Corn",0.600885,0.600885
"ARG","RUS",2000,"Rice",4.6712582,4.6712582
"ARG","RUS",2000,"Wheat",0.1758894,0.1758894
"ARG","RUS",2005,"Cocoa",0.264459,0.264459
"ARG","RUS",2005,"Corn",0.600885,0.600885
"ARG","RUS",2005,"Rice",0.1468224,0.1468224
"ARG","RUS",2005,"Wheat",0.5766339,0.5766339
"ARG","RUS",2010,"Cocoa",0.0705487,0.0705487
"ARG","RUS",2010,"Corn",0.7331176,0.7331176
"ARG","RUS",2010,"Rice",0.4724985,0.4724985
"ARG","RUS",2010,"Wheat",0.0326917,0.0326917
"ARG","RUS",2015,"Corn",0.5160556,0.5160556
"ARG","RUS",2020,"Cocoa",0.0191702,0.0191702
"ARG","RUS",2020,"Soyabean",113.591,113.591
"ARG","RWA",2005,"Cocoa",0.0030296,0.0030296
"ARG","RWA",2005,"Corn",101.891528,101.891528
"ARG","RWA",2005,"Rice",48.2868731,48.2868731
"ARG","RWA",2005,"Wheat",6.7022935,6.7022935
"ARG","R_ASP",2000,"Cocoa",0.3025138,-0.6946714
"ARG","R_ASP",2000,"Coffee",0.01725,0.0082202
"ARG","R_ASP",2000,"Corn",1588.4255209,1588.4255209
"ARG","R_ASP",2000,"Rice",0.0651642,0.0407927
"ARG","R_ASP",2000,"Soyabean",539.716383,539.673959
"ARG","R_ASP",2000,"Wheat",155.1457535,154.9054211
"ARG","R_ASP",2005,"Cocoa",1.9146673,1.8579723
"ARG","R_ASP",2005,"Coffee",0,-0.22273765
"ARG","R_ASP",2005,"Corn",2098.8956792,2098.8956792
"ARG","R_ASP",2005,"Rice",0,-0.3650436
"ARG","R_ASP",2005,"Soyabean",802.588883,802.572018
"ARG","R_ASP",2005,"Wheat",786.7871681,786.7493292
"ARG","R_ASP",2010,"Cocoa",3.1782098,0.7857192
"ARG","R_ASP",2010,"Coffee",0,-0.1963415
"ARG","R_ASP",2010,"Corn",2200.59512925,2200.59512925
"ARG","R_ASP",2010,"Palm_oil",4.957113,3.425332
"ARG","R_ASP",2010,"Rice",0,-0.0198536
"ARG","R_ASP",2010,"Soyabean",302.428775,302.387969
"ARG","R_ASP",2010,"Wheat",1.5168077,1.3333776
"ARG","R_ASP",2015,"Cocoa",1.4536318,0.6237258
"ARG","R_ASP",2015,"Coffee",0.0074126,-0.0144927
"ARG","R_ASP",2015,"Corn",4205.7778398,4205.7778398
"ARG","R_ASP",2015,"Palm_oil",0,-1.860513
"ARG","R_ASP",2015,"Rice",0,-0.0184772
"ARG","R_ASP",2015,"Soyabean",284.381617,284.3695759
"ARG","R_ASP",2015,"Wheat",91.604083,91.5833216
"ARG","R_ASP",2020,"Cocoa",1.6893469,-0.8861319
"ARG","R_ASP",2020,"Coffee",0,-0.268113
"ARG","R_ASP",2020,"Corn",10535.5030428,10535.5030428
"ARG","R_ASP",2020,"Palm_oil",0,-2.135145
"ARG","R_ASP",2020,"Rice",0.1421219,0.0339592
"ARG","R_ASP",2020,"Soyabean",92.859851,92.859851
"ARG","R_ASP",2020,"Wheat",958.9053793,958.8238753
"ARG","R_CSA",2000,"Cocoa",10.4374245,8.2880297
"ARG","R_CSA",2000,"Coffee",0.1232556,-0.2873287
"ARG","R_CSA",2000,"Corn",2083.81239565,2083.47518645
"ARG","R_CSA",2000,"Rice",120.74027635,116.13671155
"ARG","R_CSA",2000,"Soyabean",96.8944105,-46.2453635
"ARG","R_CSA",2000,"Wheat",820.31731185,817.27437795
"ARG","R_CSA",2005,"Cocoa",15.3226129,14.7778143
"ARG","R_CSA",2005,"Coffee",0.2975658,-0.00887090000000001
"ARG","R_CSA",2005,"Corn",2737.18585625,2736.95806565
"ARG","R_CSA",2005,"Rice",113.7542542,108.1292209
"ARG","R_CSA",2005,"Soyabean",83.7499242,2.64542520000001
"ARG","R_CSA",2005,"Wheat",782.5223068,781.9786887
"ARG","R_CSA",2010,"Cocoa",9.871062,8.1859224
"ARG","R_CSA",2010,"Coffee",0.6847652,0.4173356
"ARG","R_CSA",2010,"Corn",2213.4115852,2196.6281626
"ARG","R_CSA",2010,"Rice",164.0950204,158.0983831
"ARG","R_CSA",2010,"Soyabean",207.2186911,138.2794391
"ARG","R_CSA",2010,"Wheat",264.7219416,263.0598975
"ARG","R_CSA",2015,"Cocoa",9.4181242,2.3194986
"ARG","R_CSA",2015,"Coffee",0.5494371,0.1675765
"ARG","R_CSA",2015,"Corn",1633.10734585,1609.79226495
"ARG","R_CSA",2015,"Palm_oil",1.437929,1.351466
"ARG","R_CSA",2015,"Rice",136.1238356,127.6347658
"ARG","R_CSA",2015,"Soyabean",307.9306001,289.2506001
"ARG","R_CSA",2015,"Wheat",269.2783364,268.5341657
"ARG","R_CSA",2020,"Cocoa",7.5069971,-5.7913945
"ARG","R_CSA",2020,"Coffee",0.4460667,-0.1183263
"ARG","R_CSA",2020,"Corn",4482.50515415,4476.00266405
"ARG","R_CSA",2020,"Rice",140.3555951,123.4782092
"ARG","R_CSA",2020,"Soyabean",104.4805733,38.4033993
"ARG","R_CSA",2020,"Wheat",705.91128415,705.52579755
"ARG","R_NEU",2000,"Cocoa",0.0013585,-0.2444715
"ARG","R_NEU",2000,"Coffee",5.8e-05,5.8e-05
"ARG","R_NEU",2000,"Corn",12.0106817,12.0095681
"ARG","R_NEU",2000,"Soyabean",0.12763,0.12763
"ARG","R_NEU",2000,"Wheat",37.2249397,37.2249397
"ARG","R_NEU",2005,"Cocoa",0.0096722,-0.1899016
"ARG","R_NEU",2005,"Corn",3.8282388,3.8282388
"ARG","R_NEU",2005,"Rice",0.0157612,0.0157612
"ARG","R_NEU",2005,"Soyabean",0.317004,0.317004
"ARG","R_NEU",2005,"Wheat",13.8002335,13.8002335
"ARG","R_NEU",2010,"Cocoa",0.0143709,-0.4372293
"ARG","R_NEU",2010,"Coffee",0,-0.0491378
"ARG","R_NEU",2010,"Corn",1.3217376,1.3217376
"ARG","R_NEU",2010,"Rice",1.4923134,1.4923134
"ARG","R_NEU",2010,"Wheat",0.28151695,0.28151695
"ARG","R_NEU",2015,"Cocoa",0,-0.4598817
"ARG","R_NEU",2015,"Coffee",0,-0.2426465
"ARG","R_NEU",2015,"Corn",0.9941776,0.9941776
"ARG","R_NEU",2015,"Wheat",0.4420019,0.4420019
"ARG","R_NEU",2020,"Cocoa",0,-0.1005943
"ARG","R_NEU",2020,"Coffee",0,-0.3732422
"ARG","R_NEU",2020,"Corn",0.4060761,0.4060761
"ARG","R_NEU",2020,"Wheat",0.2214668,0.2214668
"ARG","R_NMC",2000,"Cocoa",1.257003,1.2475171
"ARG","R_NMC",2000,"Corn",4488.5900488,4488.5900488
"ARG","R_NMC",2000,"Rice",211.3502687,211.3502687
"ARG","R_NMC",2000,"Soyabean",56.6425,56.6425
"ARG","R_NMC",2000,"Wheat",1579.0580867,1579.0433745
"ARG","R_NMC",2005,"Cocoa",2.1333974,2.1333974
"ARG","R_NMC",2005,"Corn",6024.5313633,6024.5313633
"ARG","R_NMC",2005,"Rice",0.2168197,0.0117287
"ARG","R_NMC",2005,"Soyabean",711.166252,711.166252
"ARG","R_NMC",2005,"Wheat",1456.6093748,1456.6093748
"ARG","R_NMC",2010,"Cocoa",4.01372875,4.01279955
"ARG","R_NMC",2010,"Coffee",0.6601646,0.6601646
"ARG","R_NMC",2010,"Corn",7671.1377268,7671.0926018
"ARG","R_NMC",2010,"Rice",1.5917014,1.5734709
"ARG","R_NMC",2010,"Soyabean",1379.226178,1379.226178
"ARG","R_NMC",2010,"Wheat",88.1255171,88.1024532
"ARG","R_NMC",2015,"Cocoa",2.825502,2.825502
"ARG","R_NMC",2015,"Coffee",0.003308,0.003308
"ARG","R_NMC",2015,"Corn",7212.6631948,7174.7676928
"ARG","R_NMC",2015,"Rice",176.6081445,176.5602699
"ARG","R_NMC",2015,"Soyabean",1190.74754,1190.74754
"ARG","R_NMC",2015,"Wheat",1.375652,1.3667623
"ARG","R_NMC",2020,"Cocoa",0.6293107,0.6293107
"ARG","R_NMC",2020,"Corn",10081.374175,10081.374175
"ARG","R_NMC",2020,"Rice",2.3706922,2.2870096
"ARG","R_NMC",2020,"Soyabean",648.862903,648.862903
"ARG","R_NMC",2020,"Wheat",90.8008425,90.7962198
"ARG","R_OEU",2000,"Cocoa",0.1468378,-3.4150925
"ARG","R_OEU",2000,"Coffee",0.52987,0.2503849
"ARG","R_OEU",2000,"Corn",1894.6115981,1893.9241578
"ARG","R_OEU",2000,"Rice",2.8731683,2.7797072
"ARG","R_OEU",2000,"Soyabean",226.968764,226.968764
"ARG","R_OEU",2000,"Wheat",1.9227898,-0.501421
"ARG","R_OEU",2005,"Cocoa",2.230677,-0.82692265
"ARG","R_OEU",2005,"Coffee",0.0222706,-0.0821636
"ARG","R_OEU",2005,"Corn",1702.6414666,1702.6250524
"ARG","R_OEU",2005,"Rice",0.1688951,0.1037112
"ARG","R_OEU",2005,"Soyabean",28.188511,28.188511
"ARG","R_OEU",2005,"Wheat",2.62692295,1.46946965
"ARG","R_OEU",2010,"Cocoa",1.6202723,-2.7740898
"ARG","R_OEU",2010,"Coffee",0.0022515,-0.1104879
"ARG","R_OEU",2010,"Corn",240.9175577,240.9067146
"ARG","R_OEU",2010,"Rice",0.3639232,0.2902993
"ARG","R_OEU",2010,"Soyabean",31.09519,31.09519
"ARG","R_OEU",2010,"Wheat",0.8458518,-0.733378
"ARG","R_OEU",2015,"Cocoa",2.2425039,-2.44928555
"ARG","R_OEU",2015,"Coffee",0.0948691,-0.5366077
"ARG","R_OEU",2015,"Corn",212.9643252,212.9643252
"ARG","R_OEU",2015,"Rice",2.8502527,2.7934696
"ARG","R_OEU",2015,"Soyabean",90.34783,90.34783
"ARG","R_OEU",2015,"Wheat",26.9190952,25.8723231
"ARG","R_OEU",2020,"Cocoa",0.8077042,-3.3143104
"ARG","R_OEU",2020,"Coffee",0,-0.2703312
"ARG","R_OEU",2020,"Corn",149.5921818,149.4122466
"ARG","R_OEU",2020,"Rice",68.460826,68.2467119
"ARG","R_OEU",2020,"Soyabean",121.307815,121.307815
"ARG","R_OEU",2020,"Wheat",0.1813488,-1.47374725
"ARG","R_SSA",2000,"Cocoa",2.2028968,1.971275
"ARG","R_SSA",2000,"Coffee",0,-0.00355
"ARG","R_SSA",2000,"Corn",148.9219807,148.3462191
"ARG","R_SSA",2000,"Rice",0.0301084,0.0301084
"ARG","R_SSA",2000,"Soyabean",41.257499,41.257499
"ARG","R_SSA",2000,"Wheat",889.9914268,889.8514468
"ARG","R_SSA",2005,"Cocoa",4.430254,4.430254
"ARG","R_SSA",2005,"Coffee",0.0043907,0.0043907
"ARG","R_SSA",2005,"Corn",265.58893005,265.33411505
"ARG","R_SSA",2005,"Rice",54.5546806,54.5546806
"ARG","R_SSA",2005,"Soyabean",10.474418,10.474418
"ARG","R_SSA",2005,"Wheat",1286.0421493,1286.0421493
"ARG","R_SSA",2010,"Cocoa",10.4482909,10.3764824
"ARG","R_SSA",2010,"Corn",203.5560878,202.9674515
"ARG","R_SSA",2010,"Palm_oil",6.762366,6.762366
"ARG","R_SSA",2010,"Rice",94.0003628,94.0003628
"ARG","R_SSA",2010,"Wheat",229.1605396,229.1605396
