"from_iso3","to_iso3","FABLE_Item","q_initial","net_initial","trade_USD_t","adv","sdt_USD_t","dummy_q_initial"
"ARG","GBR","Wheat",0.0082284,-0.0449793,395.270216995941,0.245018861494118,70.3571804684339,1
"ARG","GRC","Corn",2.475756,2.475756,400.366152947688,0.360969633657143,118.381235007048,1
"ARG","IDN","Cocoa",0,-0.1866863,551.578138281287,0.1225,225.586186252121,0
"ARG","IDN","Corn",638.1032446,638.1032446,539.229151833924,0.05,16.3976722650706,1
"ARG","IDN","Soyabean",0.633023,0.633023,577.840633053095,0.0625,34.5537670547954,1
"ARG","IDN","Wheat",2333.7483906,2333.6885136,532.281941409184,0.115098039217647,33.050408721262,1
"ARG","IND","Corn",3.650404,3.650404,572.14227759544,0.371428571428571,121.811279683381,1
"ARG","IND","Rice",0,-0.1115392,551.578138281287,0.68,327.946528573526,0
"ARG","IRL","Wheat",0,-0.10373,NA,0,0,0
"ARG","MEX","Cocoa",0,-0.3664594,102.695584332508,0.08874986702,163.434645154487,0
"ARG","MEX","Coffee",0,-0.0544544,102.695584332508,0.302857142857143,744.679108622198,0
"ARG","MEX","Corn",4.6692914,4.6692914,226.714868998196,0.0445714285714286,14.6173535620058,1
"ARG","MEX","Rice",33.8436343,33.8436343,222.268410584802,0.0624,30.0939167396883,1
"ARG","MEX","Wheat",0.403796,0.3414005,232.332996495231,0.0982263425411765,28.2057000297084,1
"ARG","NOR","Corn",0.397606,0.397606,426.70087319334,0.617929021642857,202.651951599505,1
"ARG","NPL","Corn",5.5220558,5.5220558,614.654285365601,0.1,32.7953445301411,1
"ARG","RUS","Cocoa",0.0191702,0.0191702,532.106188071869,0.0549750668,101.237678843817,1
"ARG","RUS","Soyabean",113.591,113.591,487.832956692404,0.024375,13.4759691513702,1
"ARG","R_ASP","Cocoa",1.6893469,-0.8861319,568.356409637382,0.136644752803889,277.407237314096,1
"ARG","R_ASP","Coffee",0,-0.268113,551.578138281287,0.213496464485714,524.954951920041,0
"ARG","R_ASP","Corn",10535.5030428,10535.5030428,520.800506267882,0.207041284605555,81.4798831272264,1
"ARG","R_ASP","Palm Oil",0,-2.135145,551.578138281287,0.205555555555556,243.800208333333,0
"ARG","R_ASP","Rice",0.1421219,0.0339592,582.601153899959,0.778568094786667,421.815968787645,1
"ARG","R_ASP","Soyabean",92.859851,92.859851,546.033980937672,0.183333333333333,120.707826244752,1
"ARG","R_ASP","Wheat",958.9053793,958.8238753,533.433385457355,0.19083137435719,59.2715732218443,1
"ARG","R_CSA","Cocoa",7.5069971,-5.7913945,119.120748580812,0.0871357142857143,232.464263032951,1
"ARG","R_CSA","Coffee",0.4460667,-0.1183263,122.531592635837,0.122126984126531,436.744409780792,1
"ARG","R_CSA","Corn",4482.50515415,4476.00266405,111.744683160944,0.0352244897959184,18.6609114260517,1
"ARG","R_CSA","Rice",140.3555951,123.4782092,115.683062998573,0.150125396824762,120.026383445116,1
"ARG","R_CSA","Soyabean",104.4805733,38.4033993,116.025038437085,0.0588275870940476,48.2775709799167,1
"ARG","R_CSA","Wheat",705.91128415,705.52579755,113.829433686025,0.0764518251742296,30.7344045245064,1
"ARG","R_NEU","Cocoa",0,-0.1005943,362.317307407593,0.0900245871914286,165.782067701518,0
"ARG","R_NEU","Coffee",0,-0.3732422,362.317307407593,0.0817708592816326,201.061959531991,0
"ARG","R_NEU","Corn",0.4060761,0.4060761,412.829222521354,0.148060715638775,48.5570218075289,1
"ARG","R_NEU","Wheat",0.2214668,0.2214668,415.339675882098,0.181053387033613,51.9894907202929,1
"ARG","R_NMC","Cocoa",0.6293107,0.6293107,472.490599863804,0.1217003413496,259.514581291048,1
"ARG","R_NMC","Corn",10081.374175,10081.374175,428.890697387267,0.0769504761902857,31.4167254173984,1
"ARG","R_NMC","Rice",2.3706922,2.2870096,466.265274438798,0.074211282052,52.7070170223298,1
"ARG","R_NMC","Soyabean",648.862903,648.862903,440.818989219589,0.0748,55.6085291135174,1
"ARG","R_NMC","Wheat",90.8008425,90.7962198,449.573728926837,0.156424101813647,56.0576450190589,1
"ARG","R_OEU","Cocoa",0.8077042,-3.3143104,401.962915564908,0.061069170645,102.867575621281,1
"ARG","R_OEU","Coffee",0,-0.2703312,315.905127977025,0.0727226793507936,156.653887572345,0
"ARG","R_OEU","Corn",149.5921818,149.4122466,381.513071176894,0.348852273057143,82.6158635964819,1
"ARG","R_OEU","Rice",68.460826,68.2467119,384.506857552843,0.339716904112222,104.893303884013,1
"ARG","R_OEU","Soyabean",121.307815,121.307815,382.313490705749,0.0322777777777778,25.7080026887678,1
"ARG","R_OEU","Wheat",0.1813488,-1.47374725,408.01240202504,0.23811694217353,52.5202016240126,1
"ARG","R_SSA","Cocoa",0.1001609,-0.2572467,279.384673732694,0.216096153846154,357.467341291823,1
"ARG","R_SSA","Corn",554.13269705,554.13269705,256.314645923259,0.121053113553297,38.984815109029,1
"ARG","R_SSA","Palm Oil",1.0997635,1.0997635,306.601357824664,0.164391025646154,131.50302604079,1
"ARG","R_SSA","Rice",17.9589703,17.9589703,265.25693438011,0.150553976373077,71.8396895856126,1
"ARG","R_SSA","Soyabean",0.39359,0.39359,275.587249195468,0.132090301002885,74.0236453148047,1
"ARG","R_SSA","Wheat",929.4105945,929.4105945,254.992545420339,0.183512622817647,52.6222674120804,1
"ARG","SWE","Corn",0.1127771,0.1127771,441.079484033321,0.360969633657143,118.381235007048,1
"ARG","TUR","Cocoa",0,-0.2046334,362.317307407593,0.09818060456,180.801535890759,0
"ARG","TUR","Corn",20.6455432,20.619593,421.654649198843,0.273571428571429,89.7186925360289,1
"ARG","TUR","Rice",24.9923701,24.9923701,420.849758174489,0.3934,189.726712265919,1
"ARG","TUR","Wheat",0,-0.0217129,362.317307407593,0.258141229205882,74.1252691275674,0
"ARG","USA","Cocoa",0.2761702,-0.629863,278.702225063273,0.05126912498,94.4131132793596,1
"ARG","USA","Coffee",0.0466242,-0.0510507,283.704412304062,0.0136023958,33.4461980454209,1
"ARG","USA","Corn",27.3463428,25.4490144,266.184775082646,0.224915441219451,54.3079945019573,1
"ARG","USA","Rice",9.8976999,9.8976999,268.90375160289,0.02218984038,10.7015898856201,1
"ARG","USA","Soyabean",18.269548,18.02433155,267.260592023683,0.00825,4.561097251233,1
"ARG","USA","Wheat",9.0176818,8.8873303,269.15425821826,0.0269480841470588,7.73814394553735,1
"AUS","ARG","Cocoa",0,-0.5678868,569.516911017818,0.154,283.594062716952,0
"AUS","ARG","Corn",0,-0.7306863,569.516911017818,0.0771428571428572,20.5598063909774,0
"AUS","ARG","Wheat",0.0320772,0.0320772,430.384208695491,0.150784313723529,35.4644705877741,1
"AUS","BRA","Cocoa",0.0918092,0.0918092,516.937415909443,0.154,283.594062716952,1
"AUS","BRA","Coffee",0,-21.3944336,569.516911017818,0.122857142857143,302.086808214665,0
"AUS","BRA","Corn",0,-1.5406094,569.516911017818,0.0771428571428572,20.5598063909774,0
"AUS","BRA","Wheat",0.1488091,0.1216516,514.446876423375,0.138431372547059,32.5590588230682,1
"AUS","CAN","Cocoa",0.5931493,0.1990712,569.309353813952,0.22083333333,406.66897521027,1
"AUS","CAN","Coffee",0.0548204,-0.3543543,583.029510664399,0.153996133660172,268.885839502883,1
"AUS","CAN","Corn",0,-0.0223684,455.716872080097,0.202821005355316,52.597915292407,0
"AUS","CAN","Rice",0.9315779,0.9315779,566.745091989289,0.01148530168,5.94628590391689,1
"AUS","CAN","Soyabean",0,-1.1280856,455.716872080097,0.097893422719377,58.2577621759405,0
"AUS","CAN","Wheat",0.20970725,-0.89386255,575.25953401866,0.190241516117647,44.7448045908706,1
"AUS","CHN","Cocoa",0.3155279,-5.8304664,264.932525683729,0.116685081637913,173.82235157955,1
"AUS","CHN","Coffee",0.0501821,-0.3049425,269.848599923677,0.153996133660172,268.885839502883,1
"AUS","CHN","Corn",0.0080624,-2.2592029,274.828023185231,0.364285714285714,97.0879746240602,1
"AUS","CHN","Rice",0,-0.5129216,133.146008124487,0.46333333334,239.881593502424,0
"AUS","CHN","Soyabean",0,-2.5298016,133.146008124487,0.00375,2.07322602328773,0
"AUS","CHN","Wheat",669.4432645,663.6205702,245.396587821102,0.152941176470588,35.9717647058824,1
"AUS","COL","Cocoa",0.0156769,-0.0083615,561.817480545307,0.12666666667,233.259185790645,1
"AUS","COL","Coffee",0,-11.8411667,569.516911017818,0.135714285714286,333.70054395806,0
"AUS","COL","Corn",0,-0.0593501,569.516911017818,0.154081632657143,41.0652217608444,0
"AUS","COL","Palm Oil",0,-0.3287919,569.516911017818,0.2,168.38,0
"AUS","COL","Wheat",0.02892,0.0028234,558.38773036924,0.128431372547059,30.2070588230682,1
"AUS","DEU","Cocoa",0.0112248,-10.4136838,618.851096325875,0.04361926053,80.3257357559214,1
"AUS","DEU","Coffee",0.0025517,-2.5456085,628.086783157294,0.0732697839142857,180.159123405481,1
"AUS","DEU","Corn",0.0142942,-0.3779989,617.356965030962,0.240706763385714,64.1522058619699,1
"AUS","DEU","Rice",0.1302078,0.1302078,603.867394523803,0.2635614846,136.453702685186,1
"AUS","DEU","Wheat",0,-1.8228883,319.664161222784,0.210578217205882,49.5279966868235,0
"AUS","DNK","Cocoa",0,-0.0741446,319.664161222784,0.04361926053,80.3257357559214,0
"AUS","DNK","Wheat",0,-2.2962378,319.664161222784,0.210578217205882,49.5279966868235,0
"AUS","ETH","Coffee",0,-3.953405,314.00867931702,0.257142857142857,632.274714867904,0
"AUS","FIN","Wheat",0.0630366,0.0312809,556.519978360965,0.210578217205882,49.5279966868235,1
"AUS","GBR","Cocoa",0.11037235,-4.51061855,636.947543622053,0.04361926053,80.3257357559214,1
"AUS","GBR","Coffee",0.0226544,-0.9591062,647.113923526372,0.0732697839142857,180.159123405481,1
"AUS","GBR","Palm Oil",0,-0.0152728,319.664161222784,0.05433333335,45.743233347365,0
"AUS","GBR","Rice",0.5364179,0.3805537,626.956251803437,0.2635614846,136.453702685186,1
"AUS","GBR","Wheat",4.7364432,-1.5010966,613.44798838127,0.210578217205882,49.5279966868235,1
"AUS","GRC","Cocoa",0,-0.0692712,319.664161222784,0.04361926053,80.3257357559214,0
"AUS","GRC","Wheat",0,-0.32543695,319.664161222784,0.210578217205882,49.5279966868235,0
"AUS","IDN","Cocoa",2.7554044,-4.3259767,138.629881525886,0.0025,4.60379971943104,1
"AUS","IDN","Coffee",0,-5.6147995,133.146008124487,0.153996133660172,268.885839502883,0
"AUS","IDN","Corn",0.8993748,0.8988485,140.190730391096,0.00357142857142857,0.951842888471178,1
"AUS","IDN","Palm Oil",0,-0.083688,133.146008124487,0.122388434182343,97.5546801577388,0
"AUS","IDN","Soyabean",0,-2.293159,133.146008124487,0.005,2.76430136438363,0
"AUS","IDN","Wheat",886.4262119,879.8785811,130.852576892978,0.0154901960764706,3.64329411718588,1
"AUS","IND","Cocoa",0.0288794,-0.1101256,321.546516256083,0.3,552.455966331725,1
"AUS","IND","Coffee",0,-4.5604857,133.146008124487,0.7,1721.19227936263,0
"AUS","IND","Corn",0,-0.1657407,133.146008124487,0.371428571428571,98.9916604010025,0
"AUS","IND","Rice",0,-100.2859181,133.146008124487,0.68,352.056439379787,0
"AUS","IND","Soyabean",0.12385,0.12385,316.898898909516,0.3375,186.590342095895,1
"AUS","IND","Wheat",0.0325383,-13.616621,321.163174295527,0.311764705882353,73.3270588235294,1
"AUS","IRL","Cocoa",0,-0.1909393,NA,0,0,0
"AUS","IRL","Wheat",0.0003503,-0.0299963,NA,0,0,1
"AUS","MEX","Coffee",0,-0.8296637,569.516911017818,0.342857142857143,843.032953157205,0
"AUS","MEX","Corn",0,-1.2555,569.516911017818,0.0557142857142857,14.8487490601504,0
"AUS","NPL","Cocoa",0.0104199,0.0104199,317.470226966375,0.195,359.096378115621,1
"AUS","NPL","Wheat",0,-0.2559856,133.146008124487,0.188235294117647,44.2729411764706,0
"AUS","RUS","Cocoa",0,-0.0254861,271.344387812745,0.04010372644,73.8518098130445,0
"AUS","RUS","Rice",0.0644776,0.0644776,489.998895301042,0.10444444444,54.0740282684506,1
"AUS","RUS","Wheat",0,-0.6584808,271.344387812745,0.106843348717647,25.1295556183906,0
"AUS","RWA","Coffee",0,-0.07599,314.00867931702,0.228571428571429,562.02196877147,0
"AUS","R_ASP","Cocoa",43.93948125,12.68700485,173.986779738246,0.102978487315,243.818913089947,1
"AUS","R_ASP","Coffee",9.2143014,-17.8245543,176.72588903407,0.146844040944444,455.355310229106,1
"AUS","R_ASP","Corn",48.3264777,41.9206656,173.821281646158,0.139540418664286,47.8153998575609,1
"AUS","R_ASP","Palm Oil",0,-69.360639,133.146008124487,0.103827160494444,165.469728396101,0
"AUS","R_ASP","Rice",21.79916675,-122.3673448,175.210609461593,0.457954102878889,304.098876751336,1
"AUS","R_ASP","Soyabean",0.4506864,-7.8916052,182.140302996135,0.132201388888889,119.600011531298,1
"AUS","R_ASP","Wheat",5403.91431955,5388.64164,165.812670801039,0.126319129710131,41.1372821185238,1
"AUS","R_CSA","Cocoa",0.0505064,-2.2026518,534.021078320022,0.132218253968571,254.254430755762,1
"AUS","R_CSA","Coffee",0,-8.0569201,569.516911017818,0.165470521541497,411.251769786285,0
"AUS","R_CSA","Rice",0,-1.6978134,569.516911017818,0.196395238095238,110.062304212937,0
"AUS","R_CSA","Wheat",0.0882553,0.0476619,531.048829049639,0.116906540393277,27.4964183004988,1
"AUS","R_NEU","Cocoa",0,-4.5899433,271.344387812745,0.0902085016485714,166.120749831995,0
"AUS","R_NEU","Coffee",0.0357636,-3.182503,584.66005702071,0.0929343361346939,228.511231203895,1
"AUS","R_NEU","Corn",0,-0.0161376,271.344387812745,0.129617259508163,34.5450746720712,0
"AUS","R_NEU","Rice",0.0111821,0.0111821,591.497077470017,0.0953375236057143,49.3591016175208,1
"AUS","R_NEU","Wheat",0,-0.5879675,271.344387812745,0.170773554276471,40.1659399658259,0
"AUS","R_NMC","Cocoa",0.4623163,-0.758932,456.434602207035,0.1199157805064,258.073219763112,1
"AUS","R_NMC","Coffee",0.1028815,-0.11390755,463.345105703055,0.101104761905714,312.555844890614,1
"AUS","R_NMC","Corn",3.53384095,3.07517595,447.24498844867,0.0786647619045714,25.9542878277166,1
"AUS","R_NMC","Rice",70.7431507,43.534813,434.04135323881,0.0773001709408,58.253758167281,1
"AUS","R_NMC","Wheat",1619.5526736,1614.4719909,420.662697140562,0.156925240128235,45.9720330463828,1
"AUS","R_OEU","Cocoa",0.1018157,-33.1301969,589.125325161918,0.0439737460561111,86.2008650722711,1
"AUS","R_OEU","Coffee",0.0722749,-18.98545855,591.147646633009,0.0721754308396825,155.941511168147,1
"AUS","R_OEU","Corn",0.0063852,-0.6169957,605.667255674145,0.235270673356349,51.1129607004085,1
"AUS","R_OEU","Rice",0,-5.4049877,319.664161222784,0.253363624344444,88.936053659051,0
"AUS","R_OEU","Soyabean",0,-0.4677964,319.664161222784,0.0322777777777778,25.7080026887678,0
"AUS","R_OEU","Wheat",89.76558875,63.46144475,550.496726936363,0.205589667012418,38.9682336372988,1
"AUS","R_SSA","Cocoa",0.0426267,-9.4803879,497.400788020852,0.216096153846154,357.467341291823,1
"AUS","R_SSA","Coffee",0.0111537,-2.562346,504.114392220239,0.195669454821978,496.017189671011,1
"AUS","R_SSA","Corn",0,-7.5174654,314.00867931702,0.121053113553297,31.6815617412431,0
"AUS","R_SSA","Rice",1.061323,1.061323,481.664690259434,0.150545881831538,77.1139222534706,1
"AUS","R_SSA","Wheat",51.0741887,50.7008409,463.362913948152,0.183382884265837,43.0524677783982,1
"AUS","SWE","Wheat",0,-0.1632151,319.664161222784,0.210578217205882,49.5279966868235,0
"AUS","TUR","Cocoa",0,-0.1899073,271.344387812745,0.05519412343,101.641075984511,0
"AUS","TUR","Coffee",0.0213699,-0.002582,530.846843278106,0.127888312742857,314.457680733884,1
"AUS","TUR","Corn",0,-0.0348154,271.344387812745,0.273571428571429,72.9111652568922,0
"AUS","TUR","Wheat",0.1180315,-0.6059455,521.851918925506,0.221328206423529,52.0563941508141,1
"AUS","USA","Cocoa",0.1579215,-6.4525404,549.214070465374,0.0356516404,65.6532048283106,1
"AUS","USA","Coffee",0.0490546,-0.2183583,555.672968250859,0.0116712776142857,28.6978756000092,1
"AUS","USA","Corn",0,-16.7806016,455.716872080097,0.202821005355316,52.597915292407,0
"AUS","USA","Rice",0.4230701,-14.5535587,543.828475839868,0.247450837965234,86.7283237783019,1
"AUS","USA","Soyabean",0,-0.0624997,455.716872080097,0.097893422719377,58.2577621759405,0
"AUS","USA","Wheat",82.0796539,78.9319591,515.921601983927,0.0180256397647059,4.23963047265882,1
"BRA","ARG","Cocoa",14.2697165,11.367422,52.8178782182515,0.110636957819419,178.698787986893,1
"BRA","ARG","Coffee",23.3219867,23.3219867,52.5590429950499,0.147544497502961,239.852093408115,1
"BRA","ARG","Corn",3.5030969,-98.9827924,53.564935073323,0.224915441219451,54.3079945019573,1
"BRA","ARG","Palm Oil",0.057539,0.057539,102.695584332508,0.130898515355839,105.417378070925,1
"BRA","ARG","Rice",0,-117.9426957,102.695584332508,0.269288505822901,77.5145370573465,0
"BRA","ARG","Soyabean",0.2807956,-0.2106809,54.9339972407093,0.103617278435781,42.3809164193311,1
"BRA","ARG","Wheat",1.9068575,-4194.645115,53.8917047684247,0.194828084524874,43.9769389504382,1
"BRA","AUS","Cocoa",0,-0.0918092,551.578138281287,0.025,28.1127571437704,0
"BRA","AUS","Coffee",21.3944336,21.3944336,489.512539860956,0.147544497502961,239.852093408115,1
"BRA","AUS","Corn",1.5406094,1.5406094,502.56229709727,0.224915441219451,54.3079945019573,1
"BRA","AUS","Wheat",0.0271575,-0.1216516,523.272524328776,0.0117647058823529,2.43647058823529,1
"BRA","CAN","Cocoa",0.5803301,0.28922475,267.846615013992,0.24183333333,271.94407076699,1
"BRA","CAN","Coffee",37.9358244,37.9358244,256.881257135017,0.147544497502961,239.852093408115,1
"BRA","CAN","Corn",0.0845815,0.0845815,273.055016291542,0.224915441219451,54.3079945019573,1
"BRA","CAN","Rice",1.9938485,1.9938485,264.561102438157,0.01222585666,2.486739244644,1
"BRA","CAN","Wheat",0.0633038,-85.6365662,273.847395864722,0.2794269788,57.86932730948,1
"BRA","CHN","Cocoa",0.0427516,-0.7398154,674.085085087166,0.099,111.326518289331,1
"BRA","CHN","Coffee",0.7848655,0.7780041,654.751179283953,0.117142857142857,167.303428571429,1
"BRA","CHN","Corn",12.4189666,12.4189666,636.917801164243,0.4,54.04,1
"BRA","CHN","Rice",0.0067037,0.0067037,686.690589807859,0.46666666666,94.919999998644,1
"BRA","CHN","Soyabean",60598.953828,60598.785722,585.058900213466,0.09375,25.246875,1
"BRA","CHN","Wheat",0.0228547,-0.8849618,678.319787897494,0.24,49.704,1
"BRA","COL","Cocoa",1.4148361,1.3786333,113.378694778153,0.110636957819419,178.698787986893,1
"BRA","COL","Coffee",39.2384385,39.1785171,109.673422708394,0.147544497502961,239.852093408115,1
"BRA","COL","Corn",275.9572584,275.9572584,107.554874083328,0.224915441219451,54.3079945019573,1
"BRA","COL","Palm Oil",0,-12.91698575,102.695584332508,0.130898515355839,105.417378070925,0
"BRA","COL","Soyabean",0.1048772,0.1048772,116.367499828736,0.103617278435781,42.3809164193311,1
"BRA","COL","Wheat",0.8362346,0.6492299,113.976478103463,0.00441176470588235,0.913676470588235,1
"BRA","DEU","Cocoa",0.0069951,-1.9613597,319.576308057708,0.04532077012,50.9636721580882,1
"BRA","DEU","Coffee",438.227861,437.3902621,286.157751479183,0.0778129411857143,111.132442601437,1
"BRA","DEU","Corn",0.0142263,-0.3511879,317.315725133563,0.262835501914286,35.50907630862,1
"BRA","DEU","Palm Oil",0.8069755,0.8069755,315.905127977025,0.05433333335,45.743233347365,1
"BRA","DEU","Rice",0.0964467,0.0964467,311.300372785892,0.26005655472,52.895503230048,1
"BRA","DEU","Soyabean",43.272952,43.272952,292.860196373744,0.0305,8.21365,1
"BRA","DEU","Wheat",0.1386087,-2.9097597,310.173442093897,0.213104973117647,44.1340399326647,1
"BRA","DNK","Cocoa",0.0017778,0.0017778,340.606387269424,0.04532077012,50.9636721580882,1
"BRA","DNK","Coffee",4.1423367,4.1423367,315.194886309641,0.0778129411857143,111.132442601437,1
"BRA","DNK","Palm Oil",0,-3.333027,315.905127977025,0.05433333335,45.743233347365,0
"BRA","DNK","Wheat",0,-0.2525869,315.905127977025,0.213104973117647,44.1340399326647,0
"BRA","ETH","Cocoa",0.1023396,0.1023396,324.207107151785,0.275,309.240328581474,1
"BRA","ETH","Coffee",0.0073925,0.0073925,332.839648644759,0.257142857142857,367.251428571429,1
"BRA","ETH","Corn",0.666067,0.666067,318.190924927495,0.171428571428571,23.16,1
"BRA","FIN","Coffee",24.7162712,24.7162712,348.908148155719,0.0778129411857143,111.132442601437,1
"BRA","FIN","Corn",0.0020976,0.0020976,383.198424251676,0.262835501914286,35.50907630862,1
"BRA","FIN","Soyabean",0.1818386,0.1818386,366.474769622876,0.0305,8.21365,1
"BRA","GBR","Cocoa",0.0659851,0.0147582,293.151316916141,0.04532077012,50.9636721580882,1
"BRA","GBR","Coffee",37.2214138,37.0317334,275.155614942702,0.0778129411857143,111.132442601437,1
"BRA","GBR","Corn",112.6718178,112.6718178,272.12482031072,0.262835501914286,35.50907630862,1
"BRA","GBR","Rice",0.3218657,0.3218657,288.542347856273,0.26005655472,52.895503230048,1
"BRA","GBR","Soyabean",649.782473,649.782473,267.398291674315,0.0305,8.21365,1
"BRA","GBR","Wheat",0,-0.2589305,315.905127977025,0.213104973117647,44.1340399326647,0
"BRA","GRC","Cocoa",0.0058527,0.0058527,325.18654652297,0.04532077012,50.9636721580882,1
"BRA","GRC","Coffee",31.7418558,31.7418558,298.393809742248,0.0778129411857143,111.132442601437,1
"BRA","GRC","Rice",0.0299979,0.0299979,319.915457028752,0.26005655472,52.895503230048,1
"BRA","GRC","Soyabean",106.170167,106.170167,294.812645195366,0.0305,8.21365,1
"BRA","GRC","Wheat",0.0142532,-0.0731135,322.304974624201,0.213104973117647,44.1340399326647,1
"BRA","IDN","Cocoa",0,-18.5040644,551.578138281287,0.1225,137.752510004475,0
"BRA","IDN","Coffee",11.4016513,11.4016513,581.534643748028,0.157142857142857,224.431428571429,1
"BRA","IDN","Corn",189.4075998,189.4075998,565.420168375176,0.05,6.755,1
"BRA","IDN","Palm Oil",0,-138.716961,551.578138281287,0.0138888889,11.69305556491,0
"BRA","IDN","Wheat",65.999975,65.999975,571.412625357194,0.115098039217647,23.8368039219747,1
"BRA","IND","Cocoa",0,-2.4761981,551.578138281287,0.3,337.353085725245,0
"BRA","IND","Coffee",3.1054922,3.1054922,494.712026598467,0.7,999.74,1
"BRA","IND","Corn",3.1203022,3.0979327,494.688490566992,0.371428571428571,50.18,1
"BRA","IND","Rice",0.0035735,-0.0658578,529.349899406368,0.68,138.312,1
"BRA","IRL","Coffee",1.4465348,1.4465348,NA,0,0,1
"BRA","IRL","Corn",25.424681,25.424681,NA,0,0,1
"BRA","IRL","Soyabean",12.00928,12.00928,NA,0,0,1
"BRA","IRL","Wheat",0.0038829,-2.8442291,NA,0,0,1
"BRA","MEX","Cocoa",0.3219557,0.1578,236.283951460526,0.08995747906,101.158110483184,1
"BRA","MEX","Coffee",58.6716873,57.5177593,224.299290851092,0.302857142857143,432.540571428571,1
"BRA","MEX","Corn",15.1644317,15.1644317,227.354693870642,0.0217142857142857,2.9336,1
"BRA","MEX","Rice",77.1432476,77.1432476,223.686207913827,0.1264,25.70976,1
"BRA","MEX","Soyabean",49.5316,49.5316,224.679455503828,0.09375,25.246875,1
"BRA","MEX","Wheat",0.42579,0.00458649999999999,235.624383758192,0.0710667462235294,14.7179231428929,1
"BRA","NOR","Cocoa",0.0029638,0.0029638,349.46552539939,0.03589765058,40.3672773114987,1
